tenderID,title,cpvs,complaints,complaints.status,questions,answer,documents,methodType,value,procuringEntity,status,region
UA-2017-02-01-002470-b,Двигуни та їх частини,343,0,0,1,1,3,belowThreshold,120000,136515,cancelled,784
UA-2017-02-17-000174-c,природний газ,91,0,0,0,0,3,aboveThresholdUA,341368.37,21722536,unsuccessful,225
UA-2017-02-20-001743-c,"М'ясопродукти свіжі охолодженні (свинина, суп. набір, печінка куряча, філе  куряче)",151,0,0,0,0,4,belowThreshold,60355,185028,complete,31
UA-2017-02-03-001864-b,яловичина,151,0,0,0,0,4,belowThreshold,42250,25671379,complete,855
UA-2017-02-20-000329-c,"ДК 021:2015 ""15550000-8 Молочні  продукти  різні"" Молоко 2,5 % стерилізоване 900 гр., йогурт 2,5% плівка 450 гр., сметана 20% плівка 450 гр.",155,0,0,0,0,14,belowThreshold,19440,1989088,complete,521
UA-2017-02-02-000386-b,"15800000-6 Продукти харчування різні (хліб, сухарі та печиво, цукор білий, макаронні вироби, чай чрний, лавровий лист, сіль кухонна)",158,0,0,0,0,5,belowThreshold,115905,2142554,complete,531
UA-2017-02-01-001211-b,"Спирти, феноли, фенолоспирти та їх галогено-, сульфо-, нітро- і нітрозопохідні; жирні промислові спирти.",243,0,0,0,0,3,belowThreshold,7014,36721693,cancelled,530
UA-2017-02-07-001328-a,Господарчі товари,444,0,0,0,0,7,belowThreshold,3500,5496796,complete,31
UA-2017-02-10-002373-c,"Сік фруктовий в тетрапаках по 0,200 л.",153,0,0,0,0,2,belowThreshold,9120,1111227,complete,274
UA-2017-02-10-000530-a,Машини спеціального призначення різні (Щітки електрографітові),429,0,0,1,1,4,belowThreshold,150000,131334,complete,87
UA-2017-02-09-000138-c,Послуги з технічного обслуговування та ремонту газових пальників та комерційного вузлу обліку газу,500,0,0,0,0,3,belowThreshold,28600,1985742,complete,519
UA-2017-02-10-001707-c,Фармацевтична продукція,336,0,0,0,0,3,aboveThresholdUA,433705,1995083,unsuccessful,275
UA-2017-02-22-000494-a,пара та неповернений конденсат,93,0,0,0,0,2,negotiation.quick,534885.95,5483090,complete,540
UA-2017-02-10-002609-c,Яйця курячі у шкарлупі свіжі,31,0,0,0,0,3,belowThreshold,42000,3189920,complete,151
UA-2017-02-11-000096-c,"Риба, рибне філе та інше м’ясо риби морожені",152,0,0,0,0,1,belowThreshold,21000,25771721,complete,524
